Serial_Number,5000-6900,5000-6909,5000-6906,5000-6941,5000-6900N,5000-6937,5000-6912,5000-6926,5000-6930,5000-6903,5000-6911,5000-6916,5000-6905,5000-6960,5000-6914,Target_luster,Target_L,Target_a,Target_b
P05000L58C25B79,88.74,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,29.6,65.9,-1.5,-0.3
P05000L60C25M51,13.35,21.57,14.2,40.8,0,0,0,0,0,0,0,0,0,0,0,44,29,0.5,0.7
P05000L60C25M90,0,0,0,85.32,0,0,0,0,0,0,0,0,0,0,0,8.8,25,-0.5,-0.7
P05000L60C25Q28,4.9,0,0,0,0,0,59.46,0,0,0,21.15,0,0,0,0,3.3,53.5,46.8,42.6
P05000L67C23V38,87.62,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,6.6,90.4,-0.1,4.8
P05000L67C24D29,33.08,9.99,3.43,41.2,0,0,0,0,0,0,0,0,0,0,0,8.6,30.9,-0.4,-0.7
P05000L67C25J73,52.25,11.7,7.29,18.27,0,0,0,0,0,0,0,0,0,0,0,26.1,38.4,0.7,0.7
P05000L68C22O66,0,0.12,0,0.07,88.39,0.03,0,0,0,0,0,0,0,0,0,33,87.2,-2.1,3
P05000L68C25R31,0,12.1,0,27.66,51.71,0,0,0,0,0,0,0,0,0,0,49,35.4,-1.2,-1.1
P05000L68C23N78,37.26,37.13,0,0,0,0,16.25,0,0,0,0.29,0,0,0,0,46.4,67.2,21,47.2
P05000L91C25P07,0,0,0,88.16,0,0,0,0,0,0,0,0,0,0,0,27.3,25.5,-0.6,-0.4
P05000L91C25J89,17.25,0,0.28,71.09,0,0,0,0,0,0,0,0,0,0,0,26.4,27.4,-0.8,-1.1
P05000L98C22F89,94.65,0.69,0,0.02,0,0,0.13,0,0,0,0,0,0,0,0,81.1,89.3,1.3,10.8
P05000L98C25I51,88.01,1.02,0.17,1.08,0,0,0,0,0,0,0,0,0,0,0,45.7,71,-0.1,2.7
P05000L98C25R67,0,37.3,18.65,22.38,7.46,0,0,0,0,0,0,0,0,0,0,3.3,29.8,2.6,3
P05000L98C25R68,0,11.01,1.78,24.85,49.7,0,0,0,0,0,0,0,0,0,0,9.6,35.2,-0.8,-1.2
GMPC05000190849,18,14.52,2.92,54.06,0,0,0,0,0,0,0,0,0,0,0,26.1,28.1,-0.5,-0.7
GMPC05000181687,0.18,0,0.09,86.78,0,0,0,0,0,0,0,0,0,0,0,5.9,24.3,-0.6,-0.7
P05000M01C23H20,0,1.2,0.05,0.06,95.47,0,0.23,0,0,0,0,0,0,0,0,85.4,86.5,1.1,11.3
P05000M01C23W50,84.37,0.93,0,4.13,0,0.32,0,0,0,0,0,0,0,0,0,31.8,59.1,-1.9,-0.4
P05000M01C24R46,19.41,35.5,17.84,15.99,0,0,0,0,0,0,0,0,0,0,0,21,32.9,3.1,3.8
P05000M01C25B04,87.5,2.48,0,1.63,0,0,0,0,0,0,0,0,0,0,0,39.6,68.2,-0.5,4.1
P05000M01C25S13,0,0.11,0,0.65,87.14,0,0,0,0,0,0,0,0,0,0,9.6,75.5,-0.9,0.9
P05000M01C25K26,18.26,65.15,7.2,0.77,0,0,0,0,0,0,0,0,0,0,0,27.4,50.1,17.4,25.6
P05000M01C25L50,46.7,13.56,3.01,24.4,0,0,0,0,0,0,0,0,0,0,0,9.8,34.9,-0.6,-0.3
P05000M01C25N05,50.3,11.32,2.46,22.26,0,0,0,0,0,0,0,0,0,0,0,1.5,36.1,-0.3,0.1
P05000M01C25N72,17.66,2.88,0,0,0,0,76.13,0,0,0,0.33,0,0,0,0,58,74.9,21.5,71.1
P05000M01C25N73,86.93,1.05,0,2.31,0,0.09,0,0,0,0,0,0,0,0,0,23.3,64.1,-1.3,0.9
P05000M01C25Q83,37.18,0,0,1.64,0,0,0,11.9,36.58,0.59,0,0,0,0,0,13.7,39.1,-10.4,-24.1
